epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.62042,3.4493,1.45813,0.68737,4.88492,2.89375,0.00629,0.01429,0.00011,1e-05,0.08176,0.18571,0.01522,0.00536,3.08009,1.14474,0.73595,5.90226,2.85308,0.0003,0.0003,0.0973
2,12.552,3.13461,1.43653,0.60864,3.53851,2.54356,0.09336,0.64286,0.082,0.02663,0.14315,0.98571,0.23014,0.15836,2.60512,1.05209,0.55643,45.2317,2.32928,0.000699924,0.000699924,0.0936999
3,14.759,2.44859,0.87246,0.48985,3.7397,1.92493,0.07872,0.15714,0.05611,0.01307,0.17761,0.40727,0.15836,0.09601,3.01131,1.06582,0.47874,10.2285,2.87666,0.00109952,0.00109952,0.0900995
4,16.5938,2.12418,0.7884,0.36351,2.00905,1.82312,0.01389,0.48571,0.00909,0.00166,0.02656,0.92857,0.02625,0.0188,nan,5.30324,660.769,nan,nan,0.00149853,0.00149853,0.0864985
5,18.6353,1.94598,0.65102,0.32322,2.02485,1.74408,0,0,0,0,0.00167,0.1,0.00031,8e-05,nan,nan,nan,nan,nan,0.0018967,0.0018967,0.0828967
6,21.6302,1.8273,0.62774,0.24112,1.75957,1.68084,0,0,0,0,0.00095,0.05714,7e-05,3e-05,nan,nan,nan,nan,nan,0.00229376,0.00229376,0.0792938
7,23.7336,1.86329,0.64126,0.24278,1.75252,1.68235,0,0,0,0,0.00119,0.07143,0.00012,2e-05,nan,nan,nan,nan,nan,0.00268946,0.00268946,0.0756895
8,26.4197,1.80933,0.601,0.19642,1.60923,1.60217,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00308354,0.00308354,0.0720835
9,28.3734,1.74977,0.5599,0.25021,1.64384,1.55693,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00347574,0.00347574,0.0684757
10,30.2739,1.77574,0.68096,0.15258,1.59273,1.57461,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00386581,0.00386581,0.0648658
11,32.1542,1.77357,0.61947,0.17814,1.57919,1.57358,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00425349,0.00425349,0.0612535
12,33.9829,1.66837,0.55565,0.1706,1.60775,1.5141,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00463853,0.00463853,0.0576385
13,35.7833,1.64619,0.54464,0.16393,1.60247,1.51413,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00502069,0.00502069,0.0540207
14,38.1912,1.67569,0.57644,0.15813,1.58741,1.5686,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00539971,0.00539971,0.0503997
15,40.4781,1.65649,0.58134,0.12167,1.55979,1.45763,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00577535,0.00577535,0.0467754
16,42.2194,1.62724,0.58413,0.09867,1.50884,1.45082,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00614737,0.00614737,0.0431474
17,43.8855,1.7159,0.61296,0.14584,1.53571,1.52886,0,0,0,0,0,0,0,0,nan,12,1209.67,nan,nan,0.00651552,0.00651552,0.0395155
