epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9193,3.0032,1.34386,0.58403,2.95808,2.34336,0.76905,0.41429,0.55428,0.18276,0.84539,0.70304,0.82517,0.55027,2.31566,1.14287,0.48226,1.99911,1.73266,0.0003,0.0003,0.0973
2,83.0292,2.10745,0.82871,0.3846,1.98305,1.65275,0.27638,0.64286,0.35533,0.12966,0.32647,0.75714,0.4664,0.35396,2.1234,1.14009,0.31943,6.99109,1.82405,0.000699924,0.000699924,0.0936999
3,167.529,1.77279,0.74038,0.30281,1.85807,1.49649,0.16852,0.97143,0.4084,0.1594,0.17765,0.97143,0.56038,0.40941,2.05451,1.05961,0.22236,22.6501,2.03643,0.00109952,0.00109952,0.0900995
4,249.435,1.85719,0.68191,0.2564,1.72026,1.55776,0.03403,0.1,0.00511,0.00094,0.16157,0.54286,0.18406,0.09049,4.92984,1.60752,0.20369,23.6354,6.79275,0.00149853,0.00149853,0.0864985
5,355.233,1.82608,0.62583,0.30602,1.75071,1.53632,0.04218,0.24286,0.04853,0.01756,0.05707,0.32857,0.06775,0.05198,2.38255,1.75221,0.38967,109.184,4.04458,0.0018967,0.0018967,0.0828967
6,491.539,1.67774,0.57951,0.25305,1.5437,1.45698,0.02583,0.4,0.03035,0.01013,0.03137,0.48571,0.03581,0.03082,2.0278,1.14689,0.12264,321.664,2.62242,0.00229376,0.00229376,0.0792938
7,551.305,1.65585,0.60776,0.21727,1.5176,1.45414,0.00833,0.5,0.00473,0.00186,0.01867,0.6,0.0215,0.01271,2.84165,1.8346,0.06479,915.47,8.09135,0.00268946,0.00268946,0.0756895
8,763.337,1.66055,0.57433,0.22928,1.54022,1.46019,0.00452,0.27143,0.00154,0.00058,0.0081,0.48571,0.00514,0.00326,2.6,1.49746,0.05924,1331.47,4.85977,0.00308354,0.00308354,0.0720835
9,966.897,1.51513,0.57655,0.18462,1.41755,1.33378,0.00048,0.02857,2e-05,1e-05,0.005,0.3,0.00456,0.00176,2.94104,1.93974,0.04967,6348.49,8.14904,0.00347574,0.00347574,0.0684757
10,1143.76,1.65574,0.56209,0.19782,1.42881,1.41722,0.00238,0.14286,0.00062,0.00023,0.00714,0.42857,0.00439,0.00213,3.42987,4.04019,0.02424,17212,24.7104,0.00386581,0.00386581,0.0648658
11,1329.9,1.50592,0.52953,0.2113,1.43611,1.43453,0.00071,0.04286,5e-05,2e-05,0.00619,0.37143,0.00409,0.00171,3.34646,7.50255,0,28366.3,59.512,0.00425349,0.00425349,0.0612535
12,1510.07,1.58183,0.5465,0.17498,1.35701,1.39974,0,0,0,0,0.00024,0.01429,2e-05,0,3.4921,12,0,232948,910.072,0.00463853,0.00463853,0.0576385
13,1553.72,1.60632,0.54811,0.17823,1.46105,1.40907,0.00048,0.02857,2e-05,1e-05,0.00024,0.01429,2e-05,1e-05,3.70508,12,0.03173,1.10531e+06,1667.43,0.00502069,0.00502069,0.0540207
14,1660.92,1.66446,0.5998,0.15144,1.50312,1.38868,0,0,0,0,0,0,0,0,3.7265,11.9957,0,826429,560.605,0.00539971,0.00539971,0.0503997
15,1799.35,1.67317,0.5778,0.14449,1.57726,1.42862,0.00024,0.01429,1e-05,0,0,0,0,0,4.10237,11.6962,0,59921.9,273.049,0.00577535,0.00577535,0.0467754
16,1877.01,1.63278,0.58408,0.11617,1.57696,1.42086,0,0,0,0,0.00357,0.21429,0.00159,0.00033,3.48795,10.8162,0,89397.2,100.676,0.00614737,0.00614737,0.0431474
17,1959.26,1.63896,0.5561,0.14738,1.54001,1.39787,0,0,0,0,0.00095,0.05714,0.00012,3e-05,4.47495,11.5391,0,177706,165.27,0.00651552,0.00651552,0.0395155
18,2083.3,1.62181,0.56618,0.12649,1.48321,1.37019,0.00024,0.01429,1e-05,0,0.00143,0.08571,0.0002,5e-05,4.51164,11.2125,84.7834,18494,53.1232,0.00687958,0.00687958,0.0358796
19,2152.24,1.51759,0.49251,0.13061,1.5295,1.36426,0.00167,0.1,0.00018,3e-05,0.0031,0.18571,0.00546,0.00123,4.73388,11.2096,131.882,19076.6,98.5128,0.0072393,0.0072393,0.0322393
20,2261.95,1.62,0.56942,0.14469,1.52612,1.39555,0,0,0,0,0,0,0,0,0.01711,10.9745,66.4035,584.71,0.1467,0.00759445,0.00759445,0.0285944
21,2339.45,1.50173,0.52753,0.12688,1.47971,1.35807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079448,0.0079448,0.0249448
22,2450.42,1.57129,0.56081,0.16242,1.50133,1.37498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00829014,0.00829014,0.0212901
23,2549.61,1.55049,0.5032,0.15013,1.50979,1.40057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00863023,0.00863023,0.0176302
24,2682.13,1.52805,0.52987,0.1343,1.50909,1.41059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896487,0.00896487,0.0139649
25,2797.08,1.52373,0.5608,0.13309,1.47317,1.39423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00929384,0.00929384,0.0102938
26,2895.95,1.5632,0.54482,0.10912,1.44623,1.33547,0,0,0,0,0,0,0,0,0,0,0,0.00986,0,0.00933683,0.00933683,0.00933683
27,3023.89,1.54654,0.56333,0.11429,1.43274,1.3529,0,0,0,0,0,0,0,0,0,0,0,0.00043,0,0.00928405,0.00928405,0.00928405
28,3117.17,1.45245,0.52202,0.09762,1.31592,1.30082,0,0,0,0,0,0,0,0,0,10.4894,48.6576,7.48414,0,0.00922942,0.00922942,0.00922942
29,3235.58,1.48838,0.54181,0.1391,1.45862,1.37757,0,0,0,0,0.00043,0.01429,1e-05,0,4.54704,7.98046,32.3305,20.7084,5.597,0.00917296,0.00917296,0.00917296
30,3293.08,1.50615,0.49363,0.11561,1.3773,1.34744,0,0,0,0,0,0,0,0,5.37761,7.95107,32.634,16.9605,14.7123,0.00911469,0.00911469,0.00911469
31,3440.38,1.39723,0.49896,0.14045,1.36798,1.31508,0,0,0,0,0.00707,0.32857,0.00281,0.00095,6.62932,3.48477,10.1311,243.724,16.4594,0.00905463,0.00905463,0.00905463
